time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_pt	arrivals_pt	stuck_pt	en-route_pt	departures_walk	arrivals_walk	stuck_walk	en-route_walk
00:00:00	0	387	12	0	375	12	0	0	12	375	12	0	363
00:05:00	300	459	121	0	713	107	14	0	105	352	107	0	608
00:10:00	600	656	328	0	1041	273	52	0	326	383	276	0	715
00:15:00	900	1007	679	0	1369	470	199	0	597	537	480	0	772
00:20:00	1200	658	353	0	1674	325	0	0	922	333	353	0	752
00:25:00	1500	669	366	0	1977	319	0	0	1241	350	366	0	736
00:30:00	1800	1142	851	0	2268	535	289	0	1487	607	562	0	781
00:35:00	2100	1886	1573	0	2581	785	742	0	1530	1101	831	0	1051
00:40:00	2400	1500	1279	0	2802	600	564	0	1566	900	715	0	1236
00:45:00	2700	1628	1530	0	2900	583	692	0	1457	1045	838	0	1443
00:50:00	3000	1047	1013	0	2934	467	211	0	1713	580	802	0	1221
00:55:00	3300	665	639	0	2960	336	0	0	2049	329	639	0	911
01:00:00	3600	1287	1117	0	3130	567	365	0	2251	720	752	0	879
01:05:00	3900	1963	1650	0	3443	770	813	0	2208	1193	837	0	1235
01:10:00	4200	1487	1269	0	3661	606	519	0	2295	881	750	0	1366
01:15:00	4500	1672	1615	0	3718	577	730	0	2142	1095	885	0	1576
01:20:00	4800	1047	1071	0	3694	472	217	0	2397	575	854	0	1297
01:25:00	5100	674	639	0	3729	327	0	0	2724	347	639	0	1005
01:30:00	5400	1292	1156	0	3865	564	367	0	2921	728	789	0	944
01:35:00	5700	1925	1633	0	4157	802	754	0	2969	1123	879	0	1188
01:40:00	6000	1547	1361	0	4343	641	561	0	3049	906	800	0	1294
01:45:00	6300	1661	1610	0	4394	609	721	0	2937	1052	889	0	1457
01:50:00	6600	1051	1059	0	4386	467	239	0	3165	584	820	0	1221
01:55:00	6900	696	627	0	4455	343	0	0	3508	353	627	0	947
02:00:00	7200	1229	1108	0	4576	551	351	0	3708	678	757	0	868
02:05:00	7500	1909	1634	0	4851	747	805	0	3650	1162	829	0	1201
02:10:00	7800	1510	1333	0	5028	602	549	0	3703	908	784	0	1325
02:15:00	8100	1672	1576	0	5124	572	714	0	3561	1100	862	0	1563
02:20:00	8400	1045	1049	0	5120	460	216	0	3805	585	833	0	1315
02:25:00	8700	719	692	0	5147	361	0	0	4166	358	692	0	981
02:30:00	9000	1268	1123	0	5292	552	351	0	4367	716	772	0	925
02:35:00	9300	1914	1680	0	5526	792	799	0	4360	1122	881	0	1166
02:40:00	9600	1543	1361	0	5708	613	583	0	4390	930	778	0	1318
02:45:00	9900	1656	1643	0	5721	582	748	0	4224	1074	895	0	1497
